City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,71.46,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
1,Chaman,PK,68.9,clear sky,30.9236,66.4512,Niamat parda Center chaman
4,Rikitea,PF,69.01,clear sky,-23.1203,-134.9692,People ThankYou
13,Sampit,ID,73.63,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
18,Ponta Do Sol,PT,72.72,overcast clouds,32.6667,-17.1,Hotel do Campo
24,Abha,SA,71.42,few clouds,18.2164,42.5053,Abha Hotel
25,Fortuna,US,68.94,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
27,Mantua,IT,66.09,scattered clouds,45.1667,10.7833,Hotel la Favorita
28,Vao,NC,70.48,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
29,Portland,US,73.99,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
34,Albany,US,65.88,overcast clouds,42.6001,-73.9662,
35,Lagoa,PT,69.01,light rain,39.05,-27.9833,Casa Das Faias
38,Jamestown,US,68.05,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
45,Sembe,CG,70.3,overcast clouds,1.6481,14.5806,
48,Saint Anthony,US,73.45,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
54,Saint-Philippe,RE,69.39,broken clouds,-21.3585,55.7679,Le four à pain
58,Roebourne,AU,72.21,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
61,Cap Malheureux,MU,70.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
65,Great Falls,US,74.59,clear sky,47.5002,-111.3008,Extended Stay America - Great Falls - Missouri River
68,Beloha,MG,68.38,clear sky,-25.1667,45.05,
74,Panzhihua,CN,71.31,overcast clouds,26.5851,101.7128,Electric Power Hotel
80,Muros,ES,69.15,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
81,Ribeira Grande,PT,70.2,broken clouds,38.5167,-28.7,Quinta da Meia Eira
83,Santona,ES,66.6,clear sky,43.4439,-3.4576,Playamar
86,Grand Gaube,MU,72.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
91,Neuquen,AR,71.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
98,Porto Santo,PT,71.98,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
99,Viedma,AR,73.51,few clouds,-40.8135,-62.9967,Hotel Cristal
100,Imbituba,BR,65.68,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
105,Helena,US,71.26,clear sky,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
112,Marawi,PH,68.47,overcast clouds,7.9986,124.2928,Derogongan Residence
113,Fort-Shevchenko,KZ,66.69,broken clouds,44.5086,50.263,Oasis hotel Bautino
117,Souillac,MU,71.98,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
121,Tacuarembo,UY,70.65,broken clouds,-31.7333,-55.9833,Complejo San Fructuoso
128,Osoyoos,CA,72.36,broken clouds,49.0331,-119.4524,Watermark Beach Resort
130,East London,ZA,65.91,overcast clouds,-33.0153,27.9116,Tu Casa
131,Kapit,MY,73.31,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
133,Goderich,CA,66.52,scattered clouds,43.7501,-81.7165,Harmony Inn
134,Mahebourg,MU,71.89,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
135,Sabaudia,IT,68.47,clear sky,41.3003,13.0282,Oasi di Kufra
138,Muroto,JP,68.92,overcast clouds,33.2833,134.15,Oota Ryokan
149,Castro,BR,72.81,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
152,Atambua,ID,73.78,broken clouds,-9.1061,124.8925,Ros Muskanan
155,Semnan,IR,73.47,clear sky,35.5729,53.3971,Semnan Tourist Hotel
160,Mokolo,CM,72.39,few clouds,10.7398,13.8019,Diwa Hôtel
163,Mount Isa,AU,67.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
171,La Libertad,EC,73.06,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
185,Eureka,US,69.21,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
