City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,78,100,9.22,overcast clouds
1,Chaman,PK,30.9236,66.4512,68.9,12,0,5.32,clear sky
2,Tasiilaq,GL,65.6145,-37.6368,32.16,62,72,5.26,broken clouds
3,Mataura,NZ,-46.1927,168.8643,39.47,89,100,8.08,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,69.01,64,0,22.28,clear sky
5,Longyearbyen,SJ,78.2186,15.6401,40.84,70,40,13.8,scattered clouds
6,Punta Arenas,CL,-53.15,-70.9167,53.71,43,75,14.97,broken clouds
7,Sao Francisco,BR,-15.9486,-44.8644,90.16,35,58,4.72,light rain
8,Paris,FR,48.8534,2.3488,61.77,86,100,10.36,overcast clouds
9,Laredo,US,27.5064,-99.5075,84.49,48,100,3.44,overcast clouds
10,Requena,ES,39.4883,-1.1004,62.8,92,24,5.37,few clouds
11,Kavaratti,IN,10.5669,72.642,81.19,79,78,15.39,broken clouds
12,Vanavara,RU,60.34,102.2797,26.6,83,38,3.51,scattered clouds
13,Sampit,ID,-2.5333,112.95,73.63,98,100,1.01,overcast clouds
14,Lebu,CL,-37.6167,-73.65,54.59,69,100,9.84,overcast clouds
15,Port Alfred,ZA,-33.5906,26.891,61.18,90,93,3.0,overcast clouds
16,Qaanaaq,GL,77.484,-69.3632,6.98,73,50,7.72,scattered clouds
17,Bluff,NZ,-46.6,168.3333,39.79,69,94,22.03,overcast clouds
18,Ponta Do Sol,PT,32.6667,-17.1,72.72,89,100,5.95,overcast clouds
19,Atuona,PF,-9.8,-139.0333,77.31,71,1,14.99,clear sky
20,Anito,PH,12.4497,125.2886,78.8,85,100,3.94,overcast clouds
21,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,100,100,10.36,overcast clouds
22,Kaka,TM,37.3482,59.6143,61.93,13,0,6.78,clear sky
23,Talnakh,RU,69.4865,88.3972,23.49,93,87,3.38,overcast clouds
24,Abha,SA,18.2164,42.5053,71.42,21,20,9.22,few clouds
25,Fortuna,US,40.5982,-124.1573,68.94,71,7,3.0,clear sky
26,Hithadhoo,MV,-0.6,73.0833,82.27,74,100,18.43,overcast clouds
27,Mantua,IT,45.1667,10.7833,66.09,85,44,0.98,scattered clouds
28,Vao,NC,-22.6667,167.4833,70.48,56,99,8.68,overcast clouds
29,Portland,US,45.5234,-122.6762,73.99,77,100,6.91,overcast clouds
30,San Ramon,US,37.7799,-121.978,86.31,48,0,5.75,clear sky
31,Ushuaia,AR,-54.8,-68.3,49.66,46,40,11.5,scattered clouds
32,Esperance,AU,-33.8667,121.9,51.08,77,64,19.04,light rain
33,Hobart,AU,-42.8794,147.3294,50.25,80,75,8.05,broken clouds
34,Albany,US,42.6001,-73.9662,65.88,83,98,3.78,overcast clouds
35,Lagoa,PT,39.05,-27.9833,69.01,84,100,20.71,light rain
36,Airai,TL,-8.9266,125.4092,58.96,79,89,2.28,overcast clouds
37,Busselton,AU,-33.65,115.3333,48.6,63,12,8.5,few clouds
38,Jamestown,US,42.097,-79.2353,68.05,44,0,9.22,clear sky
39,Kaitangata,NZ,-46.2817,169.8464,36.95,83,100,14.29,overcast clouds
40,Khatanga,RU,71.9667,102.5,6.4,99,84,3.0,broken clouds
41,Diffa,NE,13.3154,12.6113,86.68,46,13,7.16,few clouds
